	Manufacturer	Model	Application(s)	Thrust (dry) [lbf]	Thrust (wet) [lbf]	SFC (dry) [lb/lbf hr]	SFC (wet) [lb/lbf hr]	Airflow (static) [lb/s]	OPR (static)	FPR (static)	BPR (static)	Thrust (cruise) [lbf]	SFC (cruise) [lb/lbf hr]	Cruise Speed [Mach]	Cruise Altitude [ft]	TIT [K]	Number Spools	Fan Stages	LPC Stages	HPC Stages	HPT Stages	IPT Stages	LPT Stages	Fan Diameter [in]	Length [in]	Width/Diameter [in]	Dry Weight [lb]
28	Allison (Rolls-Royce)	AE3007A3	ERJ-135/ER	7,201							5.3						2	1		14	3		2	38.5	115.1	55.7	1,657
29	Allison (Rolls-Royce)	AE3007C	Citation X	6,442							5.3						2	1		14	3		2	38.5	115.1	55.7	1,614
30	Allison (Rolls-Royce)	AE3007C1	Citation X	6,764							5.3						2	1		14	3		2	38.5	115.1	55.7	1,617
31	Allison (Rolls-Royce)	AE3007C2	Citation X	7,042													2	1		14	3		2	38.5	115.1	55.7	1,641
32	Allison (Rolls-Royce)	AE3010/12	"Yak-77 (not
  produced)"	9,920																							
33	Allison/Rolls-Royce/BMW	AE3012	"AIR 70 (not
  produced)"																								
34	Avco Lycoming	ALF301	BH200 (not produced)	2,730		0.44		100	9		5.6						2	1		5 + 1C	2		2				
35	Avco Lycoming	ALF501	"Technology
  demonstrator"	5,800		0.4		221	9.3		6						2	1G		7 + 1C	2		2				
36	Avco Lycoming	ALF502L	Challenger 600	7,500		0.428		256	13.6		5.2	2,150	0.73	0.75	30,000		2	1G	2B	7 + 1C	2		2		65.6	50	1,311
37	Avco Lycoming	ALF502L-2	Challenger 600	7,500		0.428			13.6								2	1G	2B	7 + 1C	2		2		65.6	50	1,311
38	Avco Lycoming	ALF502L-2A	Challenger 600	7,500		0.414			13.8								2	1G	2B	7 + 1C	2		2		65.6	50	1,321
39	Avco Lycoming	ALF502L-2C	Challenger 600	7,500		0.414			13.8								2	1G	2B	7 + 1C	2		2		65.6	50	1,321
40	Avco Lycoming	ALF502L-3	Challenger 600	7,500		0.415			13.8		5						2	1G	2B	7 + 1C	2		2		65.6	50	1,321
41	Avco Lycoming	ALF502R-3	BAe 146-100/-200	6,700		0.411			11.6		5.7						2	1G	1B	7 + 1C	2		2		63.8	50	1,336
42	Avco Lycoming	ALF502R-3A	"BAe
  146-100/-200/-300"	6,970		0.408			12.2		5.6						2	1G	2B	7 + 1C	2		2		63.8	50	1,336
43	Avco Lycoming	ALF502R-4	"BAe
  146-100/-200/-300"	6,970		0.408											2	1G	1B	7 + 1C	2		2		63.8	50	1,336
44	Avco Lycoming	ALF502R-5	"BAe
  146-100/-200/-200ER/-300"	6,970		0.408			12.2		5.6	2,250	0.72	0.7	25,000		2	1G	2B	7 + 1C	2		2		63.8	50	1,336
45	Avco Lycoming	ALF502R-6	"BAe
  146-200/-200ER/-300"	7,500		0.415		192	13.8		5.6						2	1G	2B	7 + 1C	2		2		65.6	50	1,375
46	Avco Lycoming (Textron Lycoming)	LF507-1F	RJ-70/-85/-100/-115	7,000		0.406		192	13.8		5.7						2	1G	7B	1C	2		2	40	58.6	41.7	1,385
47	Avco Lycoming (Textron Lycoming)	LF507-1H	RJ-70/-85/-100/-115	7,000					13.8		5.7						2	1G	7B	1C	2		2	40	58.6	41.7	1,375
48	Avco Lycoming (Textron Lycoming)	LF507-1N	Yak-40TL	7,000													2	1G	7B	1C	2		2	40	58.6	41.7	
49	Aviadvigatel	D-21A1	S-21 (not produced)	16,535					20.2	2.99	0.83						2	5		10	2		2				4,630
50	Aviadvigatel	D-100		42,000					35		8						2	1	2B	13	2		4				
51	Aviadvigatel	D-110		44,090					31	1	3						2	2G	2B	13	2		4				
52	Aviadvigatel	D-120								1	5						2	2	2B	13	2		4				
53	Aviadvigatel	PD-10	SSJ300	24,000													2	1	1	8	2		5	66			5,180
54	Aviadvigatel	PD-14	MC-21-200	31,000													2	1	3	8	2		6	75			6,330
55	Aviadvigatel	PD-14A	MC-21-300	28,000													2	1	3	8	2		6	75			6,330
56	Aviadvigatel	PD-14M	MC-21-400	34,000													2	1	4	8	2		6	75			6,550
57	Brandner	E-300-C1	"Project 206 (not
  produced)"														1			9	2						
58	Brandner	E-300-C2	(cancelled)														1			9	2						
59	Brandner	E-300-AF	(cancelled)																								
60	Bristol/Curtiss-Wright	Olympus Mk.551	"Avro 740, Avro 750
  (not produced)"	13,500													2		7	7	1		1				
61	Bristol Siddeley	Orpheus BOr.3 Mk.803	JetStar prototype	4,130		1.08											1			7	1						
62	Bristol Siddeley	"Orpheus BOr.3/5
  Mk.810D"	JetStar prototype	4,850													1			7	1				100.52	36.95	990
63	Bristol Siddeley (Rolls-Royce)	Viper Mk.520	DH 125-1	3,100													1			7	1						
64	Bristol Siddeley (Rolls-Royce)	Viper Mk.521	DH 125-1A, HS 125-1B	3,100		0.99		53	5.6								1			8	1				92.97	28.7	758
65	Bristol Siddeley (Rolls-Royce)	Viper Mk.522	"HS
  125-1A-522/-1B-522/-3/-3A/-3B/-400A/-400B/-403B"	3,330		1			5.6								1			8	1				92.97	28.7	773
66	Bristol Siddeley (Rolls-Royce)	Viper Mk.525	PD.808 prototype	3,330		1			5.6								1			8	1				105.55	28.7	772
67	Bristol Siddeley (Rolls-Royce)	Viper Mk.601-22	HS 125-600A/B	3,675				58.4	5.8								1			8	2				64.6	24.5	760
68	Bristol Siddeley (Rolls-Royce)	Viper Mk.601-22A	HS 125-600A/B	3,675				58.4	5.8								1			8	2				64.6	24.5	760
69	CFE	CFE738-1-1B	Falcon 2000	5,918		0.369		240	30	1.7	5.3	1,310	0.645	0.8	40,000		2	1		5 + 1C	2		3	35.5	68.3	48	1,325
70	CFM	CFM56-2A2	"(see military
  turbofan specifications)"																								
71	CFM	CFM56-2A3	"(see military
  turbofan specifications)"																								
72	CFM	CFM56-2B1	"(see military
  turbofan specifications)"																								
73	CFM	CFM56-2C1	DC-8-71F/-72/-72F/-73F, DC-8-71/-73 (option)	22,000		0.35		788	24.7		6	4,980	0.671	0.8	35,000		2	1	3B	9	1		4	68.3	95.7	72	4,635
74	CFM	CFM56-2C2	Trident	24,000		0.36			26.5								2	1	3B	9	1		4	68.3	95.7	72	
75	CFM	CFM56-2C3	"DC-8-71/-71F/-72/-72F/-73/-73F
  (option)"														2	1	3B	9	1		4	68.3	95.7	72	4,635
76	CFM	CFM56-2C5	DC-8-72, DC-8-71/-71F/-72F/-73/-73F (option)														2	1	3B	9	1		4	68.3	95.7	72	4,635
77	CFM	CFM56-2C6	"DC-8-71/-71F/-72/-72F/-73/-73F
  (option)"														2	1	3B	9	1		4	68.3	95.7	72	4,635
78	CFM	CFM56-3B1	737-300/-300(QC)/-500, 737-400 (option)	20,000		0.38		655	22.6		6	4,650	0.667	0.8	35,000		2	1	3B	9	1		4	60	93.1	63	4,276
79	CFM	CFM56-3B2	737-300/-300(QC)/-300F/-400	22,000		0.39		683	24.3		5.9	5,040	0.667	0.8	35,000		2	1	3B	9	1		4	60	93.1	63	4,301
80	CFM	CFM56-3C1	737-300/-300(QC)/-300F/-400/-500	23,500		0.33		710	25.7		6	5,370	0.667	0.8	35,000		2	1	3B	9	1		4	60	93.1	63	4,301
81	CFM	CFM56-3C3	737-300, 737-300(QC)/-300F/-400/-500 (option)														2	1	3B	9	1		4	60	93.1	63	
82	CFM	CFM56-5A1	A320-111/-211/-311	25,000		0.33		852	26.5		6	5,000	0.596	0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,995
83	CFM	CFM56-5A1/F	A320-211	25,000		0.33		852	26.5		6	5,000	0.596	0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,995
84	CFM	CFM56-5A3	A320-212	26,500		0.33		876	27.8		6	5,000	0.596	0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,995
85	CFM	CFM56-5A4	A319-113	22,000		0.32		816	24.1		6.2	5,000		0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,975
86	CFM	CFM56-5A4/F	A319-113	22,000		0.32		816	24.1		6.2	5,000		0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,975
87	CFM	CFM56-5A5	A319-114	23,500		0.32		842	25.4		6.2	5,000		0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,975
88	CFM	CFM56-5A5/F	A319-114	23,500		0.32		842	25.4		6.2	5,000		0.8	35,000		2	1	3B	9	1		4	68.3	95.4	72	4,975
89	CFM	CFM56-5B1	A321-111/-212	30,000		0.35		943	32		5.5	5,840	0.596	0.8	35,000		2	1	4B	9	1		4	68.3	102.4	72	5,250
90	CFM	CFM56-5B1/P	A321-111/-212	30,000		0.35		943	32		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
91	CFM	CFM56-5B1/2	A321-111/-212	30,000		0.35		943	32		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
92	CFM	CFM56-5B1/2P	A321-111/-212	30,000		0.35		943	32		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
93	CFM	CFM56-5B1/3	A321-111/-212	30,000		0.35		943	32		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
94	CFM	CFM56-5B2	A321-112/-213	31,000		0.35		956	32.9		5.5	5,840	0.545	0.8	35,000		2	1	4B	9	1		4	68.3	102.4	72	5,250
95	CFM	CFM56-5B2/P	A321-112/-213	31,000		0.35		956	32.9		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
96	CFM	CFM56-5B2/2	A321-112/-213	31,000													2	1	4B	9	1		4	68.3	102.4	72	5,250
97	CFM	CFM56-5B2/2P	A321-112/-213	31,000													2	1	4B	9	1		4	68.3	102.4	72	5,250
98	CFM	CFM56-5B2/3	A321-112/-213	31,000		0.35		956	32.9		5.5						2	1	4B	9	1		4	68.3	102.4	72	5,250
99	CFM	CFM56-5B3	A321-211	32,000		0.36		956	33.7		5.4	5,840		0.8	35,000		2	1	4B	9	1		4	68.3	102.4	72	5,250
100	CFM	CFM56-5B3/P	A321-211	32,000		0.36		956	33.7		5.4						2	1	4B	9	1		4	68.3	102.4	72	5,250
101	CFM	CFM56-5B3/P1	A321-211	32,000		0.36		956	33.7		5.4						2	1	4B	9	1		4	68.3	102.4	72	5,250
102	CFM	CFM56-5B3/2P	A321-211	32,000		0.36			33.7								2	1	4B	9	1		4	68.3	102.4	72	5,250
103	CFM	CFM56-5B3/2P1	A321-211	32,000		0.36			33.7								2	1	4B	9	1		4	68.3	102.4	72	5,250
104	CFM	CFM56-5B3/3	A321-211	32,000		0.36			33.7								2	1	4B	9	1		4	68.3	102.4	72	5,250
105	CFM	CFM56-5B3/3B1	A321-211	32,000		0.36			33.7								2	1	4B	9	1		4	68.3	102.4	72	5,250
106	CFM	CFM56-5B4	A320-214	27,000		0.34		897	29.1		5.7	5,000	0.545	0.8	35,000		2	1	4B	9	1		4	68.3	102.4	72	5,250
107	CFM	CFM56-5B4/P	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
108	CFM	CFM56-5B4/P1	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
109	CFM	CFM56-5B4/2	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
110	CFM	CFM56-5B4/2P	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
111	CFM	CFM56-5B4/2P1	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
112	CFM	CFM56-5B4/3	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
113	CFM	CFM56-5B4/3B1	A320-214	27,000		0.34		897	29.1		5.7						2	1	4B	9	1		4	68.3	102.4	72	5,250
114	CFM	CFM56-5B5	A319-111, A320-215	22,000		0.32		818	24.4		6						2	1	4B	9	1		4	68.3	102.4	72	5,250
115	CFM	CFM56-5B5/P	A319-111, A320-215	22,000		0.32		818	24.4		6						2	1	4B	9	1		4	68.3	102.4	72	5,250
116	CFM	CFM56-5B5/3	A319-111, A320-215	22,000		0.32		818	24.4		6						2	1	4B	9	1		4	68.3	102.4	72	5,250
117	CFM	CFM56-5B6	A319-112, A320-216	23,500		0.33		844	25.8		5.9						2	1	4B	9	1		4	68.3	102.4	72	5,250
118	CFM	CFM56-5B6/P	A319-112	23,500		0.33		844	25.8		5.9						2	1	4B	9	1		4	68.3	102.4	72	5,250
119	CFM	CFM56-5B6/2	A319-112	23,500		0.33		844	25.8		5.9						2	1	4B	9	1		4	68.3	102.4	72	5,250
120	CFM	CFM56-5B6/2P	A319-112	23,500		0.33		844	25.8		5.9						2	1	4B	9	1		4	68.3	102.4	72	5,250
121	CFM	CFM56-5B6/3	A319-112, A320-216	23,500		0.33		844	25.8		5.9						2	1	4B	9	1		4	68.3	102.4	72	5,250
122	CFM	CFM56-5B7	A319-115/-115CJ/-115XCJ	27,000		0.34			29.1								2	1	4B	9	1		4	68.3	102.4	72	5,250
123	CFM	CFM56-5B7/P	A319-115/-115CJ/-115XCJ	27,000		0.34			29.1								2	1	4B	9	1		4	68.3	102.4	72	5,250
124	CFM	CFM56-5B8/P	A318-111	21,600													2	1	4B	9	1		4	68.3	102.4	72	5,250
125	CFM	CFM56-5B8/3	A318-111	21,600													2	1	4B	9	1		4	68.3	102.4	72	5,250
126	CFM	CFM56-5B9/P	A318-112	23,300													2	1	4B	9	1		4	68.3	102.4	72	5,250
127	CFM	CFM56-5B9/3	A318-112	23,300													2	1	4B	9	1		4	68.3	102.4	72	5,250
128	CFM	CFM56-5C2	A340-211/-311	31,200		0.32		1027	31.5		6.6	6,915	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
129	CFM	CFM56-5C2/P	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
130	CFM	CFM56-5C2/4	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
131	CFM	CFM56-5C2/F	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
132	CFM	CFM56-5C2/F4	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
133	CFM	CFM56-5C2/G	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
134	CFM	CFM56-5C2/G4	A340-211/-311	31,200													2	1	4B	9	1		5	72.3	103	76.6	
135	CFM	CFM56-5C3	A340-212	32,500		0.32		1045	32.6		6.5	6,910	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
136	CFM	CFM56-5C3/P	A340-212/-312	32,500		0.32		1045	32.6		6.5	6,910	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
137	CFM	CFM56-5C3/F	A340-212/-312	32,500		0.32		1045	32.6		6.5						2	1	4B	9	1		5	72.3	103	76.6	5,700
138	CFM	CFM56-5C3/F4	A340-212/-312	32,500													2	1	4B	9	1		5	72.3	103	76.6	
139	CFM	CFM56-5C3/G	A340-212/-312	32,500		0.32		1045	32.6		6.5						2	1	4B	9	1		5	72.3	103	76.6	5,700
140	CFM	CFM56-5C3/G4	A340-212/-312	32,500													2	1	4B	9	1		5	72.3	103	76.6	
141	CFM	CFM56-5C4	A340-213/-213X/-313/-313X/-8000	34,000		0.33		1065	33.9		6.4	7,100	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
142	CFM	CFM56-5C4/P	A340-313/-313X	34,000		0.33		1065	33.9		6.4	7,100	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
143	CFM	CFM56-5C4/1	A340-213/-213X/-313/-313X	34,000		0.33		1065	33.9		6.4	7,100	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
144	CFM	CFM56-5C4/1P	A340-313/-313X	34,000		0.33		1065	33.9		6.4	7,100	0.545	0.8	35,000		2	1	4B	9	1		5	72.3	103	76.6	5,700
145	CFM	CFM56-7B18/3	737-600	18,500		0.35		667	21.7		5.6	5,420		0.8	35,000		2	1	3B	9	1		4	61	98.9	65	5,216
146	CFM	CFM56-7B20	737-600/-700	20,600		0.36		686	22.7		5.6	5,450	0.633	0.8	35,000		2	1	3B	9	1		4	61	98.9	65	5,216
147	CFM	CFM56-7B20/2	737-600/-700	20,600													2	1	3B	9	1		4	61	98.9	65	5,216
148	CFM	CFM56-7B20/3	737-600/-700	20,600													2	1	3B	9	1		4	61	98.9	65	5,216
149	CFM	CFM56-7B20E	737-600/-700	20,600													2	1	3B	9	1		4	61	98.9	65	5,216
150	CFM	CFM56-7B22	737-600/-700/-700BBJ/-800/-800BBJ2	22,700				726	24.6		5.4	5,450		0.8	35,000		2	1	3B	9	1		4	61	98.9	65	5,216
151	CFM	CFM56-7B22/B1		22,700													2	1	3B	9	1		4	61	98.9	65	5,216
152	CFM	CFM56-7B22/2	737-600	22,700													2	1	3B	9	1		4	61	98.9	65	5,216
153	CFM	CFM56-7B22/3	737-600/-700	22,700													2	1	3B	9	1		4	61	98.9	65	5,216
154	CFM	CFM56-7B22/3B1		22,700													2	1	3B	9	1		4	61	98.9	65	5,216
155	CFM	CFM56-7B22E	737-600/-700	22,700													2	1	3B	9	1		4	61	98.9	65	5,216
156	CFM	CFM56-7B22/EB1		22,700													2	1	3B	9	1		4	61	98.9	65	5,216
157	CFM	CFM56-7B24	737-700/-800/-900/-900ER, 737-700BBJ/-800BBJ2 (option)	24,200		0.37		754	26		5.3	5,480	0.627	0.8	35,000		2	1	3B	9	1		4	61	98.9	65	5,216
158	CFM	CFM56-7B24/2	737-700	24,200													2	1	3B	9	1		4	61	98.9	65	5,216
159	CFM	CFM56-7B24/3	737-700/-800/-900/-900ER	24,200													2	1	3B	9	1		4	61	98.9	65	5,216
160	CFM	CFM56-7B24/3B1	737-800/-900/-900ER	24,200													2	1	3B	9	1		4	61	98.9	65	5,216
161	CFM	CFM56-7B24E	737-700/-800/-900/-900ER	24,200													2	1	3B	9	1		4	61	98.9	65	5,216
162	CFM	CFM56-7B24E/B1	737-800/-900/-900ER	24,200													2	1	3B	9	1		4	61	98.9	65	5,216
163	CFM	CFM56-7B24/B1		24,200													2	1	3B	9	1		4	61	98.9	65	5,216
164	CFM	CFM56-7B26	737-700/-700BBJ/-800/-800BBJ2/-900/-900ER	26,300		0.38		783	27.9		5.1	5,480		0.8	35,000		2	1	3B	9	1		4	61	98.9	65	5,216
165	CFM	CFM56-7B26/2	737-800	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
166	CFM	CFM56-7B26/3	737-800/-900/-900ER	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
167	CFM	CFM56-7B26/3B1		26,300													2	1	3B	9	1		4	61	98.9	65	5,216
168	CFM	CFM56-7B26/3B2		26,300													2	1	3B	9	1		4	61	98.9	65	5,216
169	CFM	CFM56-7B26/3B2F		26,300													2	1	3B	9	1		4	61	98.9	65	5,216
170	CFM	CFM56-7B26/3F	737-700/-800/-900/-900ER	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
171	CFM	CFM56-7B26/B1	737-700	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
172	CFM	CFM56-7B26/B2		26,300													2	1	3B	9	1		4	61	98.9	65	5,216
173	CFM	CFM56-7B26E	737-700/-800/-900/-900ER	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
174	CFM	CFM56-7B26E/B1	737-700	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
175	CFM	CFM56-7B26E/B2	737-700														2	1	3B	9	1		4	61	98.9	65	5,216
176	CFM	CFM56-7B26E/B2F	737-700	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
177	CFM	CFM56-7B26E/F	737-700/-800/-900/-900ER	26,300													2	1	3B	9	1		4	61	98.9	65	5,216
178	CFM	CFM56-7B27	737-600/-900/-900ER	27,300		0.38			28.9								2	1	3B	9	1		4	61	98.9	65	5,216
179	CFM	CFM56-7B27/2		27,300													2	1	3B	9	1		4	61	98.9	65	5,216
180	CFM	CFM56-7B27/B1	737-800/-900/-900	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
181	CFM	CFM56-7B27/B3	737-700/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
182	CFM	CFM56-7B27/3	737-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
183	CFM	CFM56-7B27/3B1	737-800/-900/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
184	CFM	CFM56-7B27/3B1F	737-800/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
185	CFM	CFM56-7B27/3B3	737-700/-800/-900/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
186	CFM	CFM56-7B27/3F	737-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
187	CFM	CFM56-7B27A		27,300													2	1	3B	9	1		4	61	98.9	65	5,216
188	CFM	CFM56-7B27A3		27,300													2	1	3B	9	1		4	61	98.9	65	5,216
189	CFM	CFM56-7B27E	737-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
190	CFM	CFM56-7B27E/B1	737-800/-900/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
191	CFM	CFM56-7B27E/B1F	737-800/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
192	CFM	CFM56-7B27E/B3	737-700/-800/-900/-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
193	CFM	CFM56-7B27E/F	737-900ER	27,300													2	1	3B	9	1		4	61	98.9	65	5,216
194	CFM	CFM56-9	"A316/A317 (A31X),
  BRJ-X, AE-100, N-2130 (not produced)"	20,000		0.38			23.2								2	1	2B	9	1		3		91.7	56	4,252
195	CFM	LEAP-1A22	A319-152N	22,000													2	1	3	10	2		7		131		
196	CFM	LEAP-1A23		24,000													2	1	3	10	2		7		131		
197	CFM	LEAP-1A24	A319-151N, A320-252N	24,000													2	1	3	10	2		7		131		
198	CFM	LEAP-1A24E1	A319-151N	24,000													2	1	3	10	2		7		131		
199	CFM	LEAP-1A26	A319-153N, A320-251N	27,100													2	1	3	10	2		7		131		
200	CFM	LEAP-1A26CJ		27,100													2	1	3	10	2		7		131		
201	CFM	LEAP-1A26E1	A319-153N, A320-251N	27,100													2	1	3	10	2		7		131		
202	CFM	LEAP-1A29	A320-253N	29,300													2	1	3	10	2		7		131		
203	CFM	LEAP-1A29CJ		29,300													2	1	3	10	2		7		131		
204	CFM	LEAP-1A30	A321-252N/-252NX	32,160													2	1	3	10	2		7		131		
205	CFM	LEAP-1A32	A321-251N/-251NX	32,160													2	1	3	10	2		7		131		
206	CFM	LEAP-1A33	A321-253N/-253NX	32,160													2	1	3	10	2		7		131		
207	CFM	LEAP-1A33A5	A321-253N	32,160													2	1	3	10	2		5		123.9		
208	CFM	LEAP-1A33B2	A321-253N	32,160													2	1	3	10	2		5		123.9		
209	CFM	LEAP-1A35	A321-253N/-253NX	32,160													2	1	3	10	2		7		131		
210	CFM	LEAP-1B35		32,160													2	1	3	10	2		5		123.9		
211	CFM	LEAP-1B21		25,000													2	1	3	10	2		5		123.9		
212	CFM	LEAP-1B23		25,900													2	1	3	10	2		5		123.9		
213	CFM	LEAP-1B25G05	737-8	26,785													2	1	3	10	2		5		123.9		
214	CFM	LEAP-1B25G06	737-8	26,785													2	1	3	10	2		5		123.9		
215	CFM	LEAP-1B27G05	737-8/-9	28,000													2	1	3	10	2		5		123.9		
216	CFM	LEAP-1B27G06	737-8/-9	28,000													2	1	3	10	2		5		123.9		
217	CFM	LEAP-1B28G05	737-8/-9	29,300													2	1	3	10	2		5		123.9		
